Place,District,Month,Season,Weekend,Weather,Visitor_Count_Level,Visitor_Type,Foreign_Tourists,Kids_Visitors,Senior_Citizens,Business_Activity
Lonavala,Pune,July,Monsoon,Yes,Rainy,High,Students,No,Medium,Low,High
Mahabaleshwar,Satara,November,Post-Monsoon,No,Clear,Medium,Couples,No,Low,Low,High
Panchgani,Satara,June,Monsoon,No,Humid,Low,Solo Travelers,No,Low,Low,Low
Matheran,Raigad,February,Winter,No,Cool,Medium,Foreign Tourists,No,Low,Low,High
Raigad Fort,Raigad,December,Winter,No,Pleasant,Medium,Families,No,Low,Low,Medium
Mahabaleshwar,Satara,June,Monsoon,Yes,Humid,High,Foreign Tourists,No,Medium,Low,Low
Sindhudurg Fort,Sindhudurg,February,Winter,No,Cool,Medium,Families,No,Low,Low,Medium
Ellora Caves,Aurangabad,November,Post-Monsoon,No,Pleasant,Medium,Students,Yes,Low,Low,High
Panchgani,Satara,April,Summer,Yes,Humid,Medium,Foreign Tourists,No,High,Low,Low
Panchgani,Satara,June,Monsoon,Yes,Humid,Medium,Solo Travelers,No,Medium,Low,High
Shani Shingnapur,Ahmednagar,March,Summer,No,Humid,Low,Foreign Tourists,No,Medium,High,High
Ellora Caves,Aurangabad,July,Monsoon,Yes,Humid,Medium,Families,No,Medium,Low,Low
Elephanta Caves,Mumbai,March,Summer,No,Hot,Low,Couples,Yes,Medium,Low,Medium
Aga Khan Palace,Pune,July,Monsoon,No,Rainy,Low,Couples,No,Low,Low,High
Aga Khan Palace,Pune,May,Summer,No,Hot,Low,Students,Yes,Medium,Low,High
Khandala,Pune,July,Monsoon,Yes,Humid,High,Foreign Tourists,No,Medium,Low,Medium
Pratapgad Fort,Satara,October,Post-Monsoon,No,Clear,Medium,Families,No,Low,Low,Medium
Ajanta Caves,Aurangabad,April,Summer,No,Hot,Low,Families,Yes,Medium,Low,Low
Raigad Fort,Raigad,September,Monsoon,No,Rainy,Low,Foreign Tourists,No,Low,Low,Medium
Ajanta Caves,Aurangabad,January,Winter,Yes,Cool,High,Foreign Tourists,Yes,Medium,Low,Medium
Matheran,Raigad,October,Post-Monsoon,No,Clear,Medium,Couples,No,Low,Low,High
Elephanta Caves,Mumbai,July,Monsoon,Yes,Rainy,Medium,Students,No,Medium,Low,Medium
Pratapgad Fort,Satara,May,Summer,No,Warm,Low,Solo Travelers,No,Medium,Low,Low
Trimbakeshwar Temple,Nashik,February,Winter,Yes,Cool,High,Families,No,Medium,High,High
Gateway of India,Mumbai,April,Summer,Yes,Hot,Medium,Couples,Yes,High,Low,Medium
Aga Khan Palace,Pune,April,Summer,Yes,Humid,Medium,Students,Yes,High,Low,Medium
Elephanta Caves,Mumbai,May,Summer,Yes,Humid,Medium,Families,Yes,High,Low,Low
Shirdi,Ahmednagar,October,Post-Monsoon,No,Pleasant,Medium,Students,No,Low,High,Medium
Daulatabad Fort,Aurangabad,January,Winter,No,Pleasant,Medium,Students,No,Low,Low,Low
Bhimashankar Temple,Pune,March,Summer,Yes,Humid,Medium,Couples,No,High,High,Medium
Gateway of India,Mumbai,October,Post-Monsoon,No,Pleasant,Medium,Families,Yes,Low,Low,Low
Daulatabad Fort,Aurangabad,November,Post-Monsoon,Yes,Clear,High,Solo Travelers,No,Medium,Low,High
Gateway of India,Mumbai,August,Monsoon,No,Rainy,Low,Couples,No,Low,Low,Low
Pratapgad Fort,Satara,March,Summer,No,Warm,Low,Solo Travelers,No,Medium,Low,Low
Matheran,Raigad,October,Post-Monsoon,Yes,Pleasant,High,Couples,No,Medium,Low,High
Kaas Plateau,Satara,August,Monsoon,No,Rainy,Low,Families,No,Low,Low,Medium
Trimbakeshwar Temple,Nashik,February,Winter,Yes,Cool,High,Families,No,Medium,High,Medium
Mahabaleshwar,Satara,April,Summer,Yes,Hot,Medium,Foreign Tourists,No,High,Low,High
Trimbakeshwar Temple,Nashik,February,Winter,Yes,Pleasant,High,Families,No,Medium,High,High
Daulatabad Fort,Aurangabad,July,Monsoon,No,Rainy,Low,Families,No,Low,Low,Low
Ellora Caves,Aurangabad,October,Post-Monsoon,Yes,Pleasant,High,Families,Yes,Medium,Low,Medium
Tarkarli Beach,Sindhudurg,July,Monsoon,No,Rainy,Low,Families,No,Low,Low,Medium
Bhimashankar Temple,Pune,December,Winter,Yes,Cool,High,Families,No,Medium,High,High
Pratapgad Fort,Satara,December,Winter,Yes,Cool,High,Foreign Tourists,No,Medium,Low,Low
Panchgani,Satara,March,Summer,No,Hot,Low,Students,No,Medium,Low,Low
Sindhudurg Fort,Sindhudurg,March,Summer,No,Hot,Low,Solo Travelers,No,Medium,Low,High
Gateway of India,Mumbai,July,Monsoon,No,Humid,Low,Families,No,Low,Low,Medium
Daulatabad Fort,Aurangabad,September,Monsoon,No,Rainy,Low,Couples,No,Low,Low,High
Shirdi,Ahmednagar,September,Monsoon,Yes,Rainy,Medium,Students,No,Medium,High,Medium
Ajanta Caves,Aurangabad,November,Post-Monsoon,No,Clear,Medium,Solo Travelers,Yes,Low,Low,High
Tarkarli Beach,Sindhudurg,December,Winter,Yes,Cool,High,Couples,No,Medium,Low,Medium
Raigad Fort,Raigad,March,Summer,No,Humid,Low,Families,No,Medium,Low,High
Ellora Caves,Aurangabad,October,Post-Monsoon,Yes,Pleasant,High,Solo Travelers,Yes,Medium,Low,Medium
Shirdi,Ahmednagar,June,Monsoon,No,Humid,Low,Foreign Tourists,No,Low,High,Low
Sindhudurg Fort,Sindhudurg,May,Summer,Yes,Humid,Medium,Solo Travelers,No,High,Low,High
Panchgani,Satara,January,Winter,No,Cool,Medium,Couples,No,Low,Low,Medium
Daulatabad Fort,Aurangabad,May,Summer,No,Humid,Low,Couples,No,Medium,Low,High
Ajanta Caves,Aurangabad,July,Monsoon,No,Rainy,Low,Couples,No,Low,Low,Medium
Bhimashankar Temple,Pune,December,Winter,Yes,Pleasant,High,Students,No,Medium,High,Medium
Lonavala,Pune,March,Summer,No,Humid,Low,Foreign Tourists,No,Medium,Low,Low
Khandala,Pune,October,Post-Monsoon,Yes,Clear,High,Solo Travelers,No,Medium,Low,Low
Trimbakeshwar Temple,Nashik,August,Monsoon,Yes,Humid,Medium,Students,No,Medium,High,Medium
Kaas Plateau,Satara,June,Monsoon,No,Humid,Low,Families,No,Low,Low,Low
Ajanta Caves,Aurangabad,April,Summer,No,Hot,Low,Families,Yes,Medium,Low,Medium
Gateway of India,Mumbai,June,Monsoon,No,Humid,Low,Couples,No,Low,Low,High
Ellora Caves,Aurangabad,March,Summer,No,Warm,Low,Families,Yes,Medium,Low,Medium
Elephanta Caves,Mumbai,July,Monsoon,No,Rainy,Low,Couples,No,Low,Low,High
Mahabaleshwar,Satara,January,Winter,Yes,Cool,High,Families,No,Medium,Low,Low
Raigad Fort,Raigad,December,Winter,No,Pleasant,Medium,Foreign Tourists,No,Low,Low,Medium
Aga Khan Palace,Pune,September,Monsoon,Yes,Rainy,Medium,Students,No,Medium,Low,High
Tarkarli Beach,Sindhudurg,February,Winter,No,Cool,Medium,Solo Travelers,No,Low,Low,Medium
Panchgani,Satara,April,Summer,No,Hot,Low,Solo Travelers,No,Medium,Low,High
Daulatabad Fort,Aurangabad,February,Winter,No,Pleasant,Medium,Couples,No,Low,Low,Medium
Pratapgad Fort,Satara,November,Post-Monsoon,No,Pleasant,Medium,Students,No,Low,Low,High
Daulatabad Fort,Aurangabad,March,Summer,Yes,Hot,Medium,Students,No,High,Low,High
Daulatabad Fort,Aurangabad,March,Summer,No,Humid,Low,Students,No,Medium,Low,Medium
Lonavala,Pune,September,Monsoon,Yes,Rainy,High,Families,No,Medium,Low,Low
Raigad Fort,Raigad,January,Winter,Yes,Pleasant,High,Solo Travelers,No,Medium,Low,High
Trimbakeshwar Temple,Nashik,May,Summer,Yes,Humid,Medium,Students,No,High,High,Medium
Gateway of India,Mumbai,March,Summer,No,Warm,Low,Foreign Tourists,Yes,Medium,Low,Low
Trimbakeshwar Temple,Nashik,December,Winter,No,Cool,Medium,Couples,No,Low,High,High
Gateway of India,Mumbai,September,Monsoon,Yes,Humid,Medium,Couples,No,Medium,Low,High
Tarkarli Beach,Sindhudurg,February,Winter,Yes,Pleasant,High,Foreign Tourists,No,Medium,Low,Medium
Tarkarli Beach,Sindhudurg,May,Summer,Yes,Hot,Medium,Students,No,High,Low,Low
Aga Khan Palace,Pune,August,Monsoon,No,Humid,Low,Solo Travelers,No,Low,Low,Low
Gateway of India,Mumbai,December,Winter,Yes,Cool,High,Solo Travelers,Yes,Medium,Low,Low
Shirdi,Ahmednagar,July,Monsoon,Yes,Humid,Medium,Families,No,Medium,High,Low
Matheran,Raigad,August,Monsoon,Yes,Humid,Medium,Students,No,Medium,Low,Medium
Bhimashankar Temple,Pune,May,Summer,Yes,Warm,Medium,Families,No,High,High,High
Shani Shingnapur,Ahmednagar,February,Winter,No,Cool,Medium,Students,No,Low,High,Medium
Shirdi,Ahmednagar,October,Post-Monsoon,No,Clear,Medium,Couples,No,Low,High,Low
Sindhudurg Fort,Sindhudurg,May,Summer,Yes,Warm,Medium,Solo Travelers,No,High,Low,Low
Tarkarli Beach,Sindhudurg,October,Post-Monsoon,No,Pleasant,Medium,Couples,No,Low,Low,Low
Lonavala,Pune,May,Summer,No,Warm,Low,Students,No,Medium,Low,High
Shirdi,Ahmednagar,April,Summer,Yes,Humid,Medium,Foreign Tourists,No,High,High,Medium
Panchgani,Satara,March,Summer,Yes,Warm,Medium,Solo Travelers,No,High,Low,High
Gateway of India,Mumbai,March,Summer,Yes,Warm,Medium,Solo Travelers,Yes,High,Low,Medium
Tarkarli Beach,Sindhudurg,October,Post-Monsoon,No,Pleasant,Medium,Solo Travelers,No,Low,Low,High
Aga Khan Palace,Pune,March,Summer,No,Hot,Low,Couples,Yes,Medium,Low,High
Shani Shingnapur,Ahmednagar,January,Winter,No,Cool,Medium,Solo Travelers,No,Low,High,High
Bhimashankar Temple,Pune,November,Post-Monsoon,No,Clear,Medium,Couples,No,Low,High,High
Matheran,Raigad,December,Winter,No,Pleasant,Medium,Couples,No,Low,Low,Medium
Sindhudurg Fort,Sindhudurg,December,Winter,No,Pleasant,Medium,Families,No,Low,Low,Medium
Aga Khan Palace,Pune,August,Monsoon,Yes,Rainy,Medium,Families,No,Medium,Low,High
Gateway of India,Mumbai,April,Summer,No,Warm,Low,Students,Yes,Medium,Low,Medium
Raigad Fort,Raigad,February,Winter,Yes,Cool,High,Foreign Tourists,No,Medium,Low,High
Matheran,Raigad,October,Post-Monsoon,Yes,Clear,High,Foreign Tourists,No,Medium,Low,High
Aga Khan Palace,Pune,July,Monsoon,Yes,Humid,Medium,Couples,No,Medium,Low,Medium
Tarkarli Beach,Sindhudurg,June,Monsoon,No,Humid,Low,Families,No,Low,Low,High
Daulatabad Fort,Aurangabad,April,Summer,No,Warm,Low,Couples,No,Medium,Low,High
Khandala,Pune,August,Monsoon,No,Humid,High,Families,No,Low,Low,Low
Trimbakeshwar Temple,Nashik,March,Summer,Yes,Humid,Medium,Families,No,High,High,Medium
Mahabaleshwar,Satara,September,Monsoon,Yes,Rainy,High,Students,No,Medium,Low,High
Elephanta Caves,Mumbai,December,Winter,Yes,Pleasant,High,Students,Yes,Medium,Low,High
Shirdi,Ahmednagar,April,Summer,Yes,Humid,Medium,Foreign Tourists,No,High,High,High
Sindhudurg Fort,Sindhudurg,March,Summer,No,Humid,Low,Solo Travelers,No,Medium,Low,Medium
Trimbakeshwar Temple,Nashik,June,Monsoon,No,Humid,Low,Students,No,Low,High,Medium
Bhimashankar Temple,Pune,February,Winter,Yes,Pleasant,High,Students,No,Medium,High,Low
Matheran,Raigad,May,Summer,Yes,Warm,Medium,Foreign Tourists,No,High,Low,Low
Shani Shingnapur,Ahmednagar,August,Monsoon,No,Humid,Low,Families,No,Low,High,High
Matheran,Raigad,February,Winter,No,Pleasant,Medium,Families,No,Low,Low,High
Mahabaleshwar,Satara,December,Winter,Yes,Cool,High,Students,No,Medium,Low,Low
Khandala,Pune,May,Summer,Yes,Humid,Medium,Solo Travelers,No,High,Low,Medium
Trimbakeshwar Temple,Nashik,October,Post-Monsoon,No,Clear,Medium,Couples,No,Low,High,High
Tarkarli Beach,Sindhudurg,October,Post-Monsoon,Yes,Pleasant,High,Families,No,Medium,Low,High
Shirdi,Ahmednagar,August,Monsoon,Yes,Humid,Medium,Families,No,Medium,High,Low
Mahabaleshwar,Satara,May,Summer,No,Warm,Low,Families,No,Medium,Low,Low
Ellora Caves,Aurangabad,November,Post-Monsoon,No,Clear,Medium,Families,Yes,Low,Low,Low
Matheran,Raigad,July,Monsoon,No,Humid,Low,Students,No,Low,Low,Low
Ajanta Caves,Aurangabad,September,Monsoon,No,Humid,Low,Solo Travelers,No,Low,Low,High
Ellora Caves,Aurangabad,September,Monsoon,Yes,Rainy,Medium,Students,No,Medium,Low,High
Sindhudurg Fort,Sindhudurg,March,Summer,Yes,Warm,Medium,Foreign Tourists,No,High,Low,High
Elephanta Caves,Mumbai,July,Monsoon,Yes,Humid,Medium,Foreign Tourists,No,Medium,Low,Medium
Panchgani,Satara,October,Post-Monsoon,No,Clear,Medium,Families,No,Low,Low,Low
Kaas Plateau,Satara,October,Post-Monsoon,No,Pleasant,Medium,Couples,No,Low,Low,Medium
Kaas Plateau,Satara,November,Post-Monsoon,No,Clear,Medium,Foreign Tourists,No,Low,Low,Low
Raigad Fort,Raigad,August,Monsoon,Yes,Rainy,Medium,Families,No,Medium,Low,Medium
Kaas Plateau,Satara,November,Post-Monsoon,Yes,Pleasant,High,Families,No,Medium,Low,Low
Bhimashankar Temple,Pune,August,Monsoon,Yes,Rainy,Medium,Students,No,Medium,High,Medium
Sindhudurg Fort,Sindhudurg,December,Winter,Yes,Cool,High,Foreign Tourists,No,Medium,Low,Low
Matheran,Raigad,December,Winter,Yes,Pleasant,High,Solo Travelers,No,Medium,Low,High
Daulatabad Fort,Aurangabad,June,Monsoon,Yes,Humid,Medium,Students,No,Medium,Low,Low
Bhimashankar Temple,Pune,June,Monsoon,No,Humid,Low,Foreign Tourists,No,Low,High,Low
Raigad Fort,Raigad,April,Summer,No,Hot,Low,Solo Travelers,No,Medium,Low,High
Matheran,Raigad,December,Winter,Yes,Pleasant,High,Solo Travelers,No,Medium,Low,High
Matheran,Raigad,September,Monsoon,Yes,Rainy,Medium,Students,No,Medium,Low,Low
Mahabaleshwar,Satara,December,Winter,Yes,Pleasant,High,Foreign Tourists,No,Medium,Low,Low
Shirdi,Ahmednagar,November,Post-Monsoon,No,Clear,Medium,Couples,No,Low,High,High
Ellora Caves,Aurangabad,February,Winter,Yes,Pleasant,High,Solo Travelers,Yes,Medium,Low,High
Raigad Fort,Raigad,November,Post-Monsoon,No,Clear,Medium,Foreign Tourists,No,Low,Low,Medium
Shani Shingnapur,Ahmednagar,December,Winter,No,Pleasant,Medium,Foreign Tourists,No,Low,High,High
Pratapgad Fort,Satara,October,Post-Monsoon,No,Clear,Medium,Families,No,Low,Low,Low
Khandala,Pune,April,Summer,No,Hot,Low,Solo Travelers,No,Medium,Low,Medium
Sindhudurg Fort,Sindhudurg,November,Post-Monsoon,No,Clear,Medium,Couples,No,Low,Low,Low
Kaas Plateau,Satara,October,Post-Monsoon,No,Pleasant,Medium,Students,No,Low,Low,Low
Mahabaleshwar,Satara,November,Post-Monsoon,No,Clear,Medium,Solo Travelers,No,Low,Low,Medium
Trimbakeshwar Temple,Nashik,September,Monsoon,Yes,Rainy,Medium,Students,No,Medium,High,Low
Sindhudurg Fort,Sindhudurg,May,Summer,No,Humid,Low,Couples,No,Medium,Low,Low
Raigad Fort,Raigad,October,Post-Monsoon,No,Pleasant,Medium,Families,No,Low,Low,High
Khandala,Pune,October,Post-Monsoon,No,Pleasant,Medium,Foreign Tourists,No,Low,Low,Medium
Tarkarli Beach,Sindhudurg,March,Summer,Yes,Hot,Medium,Students,No,High,Low,High
Shani Shingnapur,Ahmednagar,May,Summer,Yes,Humid,Medium,Families,No,High,High,Medium
Khandala,Pune,January,Winter,No,Cool,Medium,Solo Travelers,No,Low,Low,Medium
Khandala,Pune,March,Summer,No,Humid,Low,Foreign Tourists,No,Medium,Low,Low
Panchgani,Satara,March,Summer,Yes,Warm,Medium,Couples,No,High,Low,High
Kaas Plateau,Satara,June,Monsoon,Yes,Humid,Medium,Solo Travelers,No,Medium,Low,Low
Trimbakeshwar Temple,Nashik,September,Monsoon,Yes,Rainy,Medium,Solo Travelers,No,Medium,High,Medium
Gateway of India,Mumbai,November,Post-Monsoon,No,Clear,Medium,Solo Travelers,Yes,Low,Low,Low
Shirdi,Ahmednagar,August,Monsoon,No,Rainy,Low,Foreign Tourists,No,Low,High,High
Kaas Plateau,Satara,March,Summer,No,Warm,Low,Couples,No,Medium,Low,Medium
Panchgani,Satara,April,Summer,Yes,Humid,Medium,Solo Travelers,No,High,Low,Low
Gateway of India,Mumbai,July,Monsoon,Yes,Humid,Medium,Families,No,Medium,Low,High
Panchgani,Satara,August,Monsoon,Yes,Humid,Medium,Students,No,Medium,Low,High
Panchgani,Satara,May,Summer,Yes,Humid,Medium,Solo Travelers,No,High,Low,Medium
Sindhudurg Fort,Sindhudurg,April,Summer,Yes,Hot,Medium,Foreign Tourists,No,High,Low,Low
Ellora Caves,Aurangabad,September,Monsoon,No,Rainy,Low,Students,No,Low,Low,Medium
Aga Khan Palace,Pune,October,Post-Monsoon,No,Clear,Medium,Couples,Yes,Low,Low,High
Kaas Plateau,Satara,January,Winter,Yes,Cool,High,Foreign Tourists,No,Medium,Low,Medium
Khandala,Pune,March,Summer,Yes,Hot,Medium,Foreign Tourists,No,High,Low,Low
Sindhudurg Fort,Sindhudurg,April,Summer,No,Hot,Low,Foreign Tourists,No,Medium,Low,Low
Tarkarli Beach,Sindhudurg,April,Summer,Yes,Hot,Medium,Families,No,High,Low,High
Tarkarli Beach,Sindhudurg,February,Winter,Yes,Cool,High,Solo Travelers,No,Medium,Low,Medium
Bhimashankar Temple,Pune,November,Post-Monsoon,Yes,Clear,High,Solo Travelers,No,Medium,High,Low
Matheran,Raigad,September,Monsoon,Yes,Humid,Medium,Couples,No,Medium,Low,Low
Aga Khan Palace,Pune,October,Post-Monsoon,No,Pleasant,Medium,Foreign Tourists,Yes,Low,Low,Medium
Lonavala,Pune,February,Winter,Yes,Pleasant,High,Couples,No,Medium,Low,Medium
Ajanta Caves,Aurangabad,August,Monsoon,No,Rainy,Low,Solo Travelers,No,Low,Low,Medium
Ellora Caves,Aurangabad,January,Winter,Yes,Pleasant,High,Students,Yes,Medium,Low,Medium
Gateway of India,Mumbai,November,Post-Monsoon,Yes,Clear,High,Couples,Yes,Medium,Low,High
Shirdi,Ahmednagar,September,Monsoon,Yes,Humid,Medium,Couples,No,Medium,High,Low
Gateway of India,Mumbai,March,Summer,Yes,Warm,Medium,Solo Travelers,Yes,High,Low,Medium
Daulatabad Fort,Aurangabad,March,Summer,Yes,Warm,Medium,Solo Travelers,No,High,Low,Low
Shirdi,Ahmednagar,August,Monsoon,Yes,Humid,Medium,Foreign Tourists,No,Medium,High,Low
Lonavala,Pune,August,Monsoon,Yes,Rainy,High,Couples,No,Medium,Low,Medium
Kaas Plateau,Satara,July,Monsoon,No,Rainy,Low,Students,No,Low,Low,High
Elephanta Caves,Mumbai,April,Summer,No,Humid,Low,Solo Travelers,Yes,Medium,Low,Medium
Shani Shingnapur,Ahmednagar,October,Post-Monsoon,Yes,Pleasant,High,Foreign Tourists,No,Medium,High,Low
Panchgani,Satara,May,Summer,Yes,Warm,Medium,Students,No,High,Low,High
Tarkarli Beach,Sindhudurg,January,Winter,No,Cool,Medium,Families,No,Low,Low,Low
Ellora Caves,Aurangabad,April,Summer,No,Hot,Low,Families,Yes,Medium,Low,High
Tarkarli Beach,Sindhudurg,October,Post-Monsoon,No,Clear,Medium,Families,No,Low,Low,Low
Panchgani,Satara,November,Post-Monsoon,No,Clear,Medium,Solo Travelers,No,Low,Low,Low
Trimbakeshwar Temple,Nashik,July,Monsoon,No,Rainy,Low,Foreign Tourists,No,Low,High,High
Sindhudurg Fort,Sindhudurg,May,Summer,Yes,Humid,Medium,Couples,No,High,Low,Medium
Pratapgad Fort,Satara,June,Monsoon,No,Rainy,Low,Families,No,Low,Low,High
Shani Shingnapur,Ahmednagar,January,Winter,Yes,Pleasant,High,Solo Travelers,No,Medium,High,Low
Trimbakeshwar Temple,Nashik,August,Monsoon,No,Rainy,Low,Foreign Tourists,No,Low,High,High
Sindhudurg Fort,Sindhudurg,August,Monsoon,Yes,Humid,Medium,Foreign Tourists,No,Medium,Low,Medium
Gateway of India,Mumbai,February,Winter,No,Pleasant,Medium,Families,Yes,Low,Low,High
Shani Shingnapur,Ahmednagar,February,Winter,Yes,Cool,High,Foreign Tourists,No,Medium,High,Low
Lonavala,Pune,June,Monsoon,Yes,Rainy,High,Families,No,Medium,Low,Medium
Ellora Caves,Aurangabad,October,Post-Monsoon,No,Clear,Medium,Foreign Tourists,Yes,Low,Low,High
Shirdi,Ahmednagar,March,Summer,Yes,Humid,Medium,Solo Travelers,No,High,High,High
Elephanta Caves,Mumbai,January,Winter,No,Cool,Medium,Families,Yes,Low,Low,High
Tarkarli Beach,Sindhudurg,November,Post-Monsoon,Yes,Clear,High,Foreign Tourists,No,Medium,Low,High
Panchgani,Satara,May,Summer,No,Warm,Low,Couples,No,Medium,Low,High
Kaas Plateau,Satara,April,Summer,No,Warm,Low,Solo Travelers,No,Medium,Low,Low
Khandala,Pune,June,Monsoon,Yes,Humid,High,Families,No,Medium,Low,Medium
Shirdi,Ahmednagar,August,Monsoon,No,Rainy,Low,Foreign Tourists,No,Low,High,High
Panchgani,Satara,August,Monsoon,No,Humid,Low,Foreign Tourists,No,Low,Low,Low
Kaas Plateau,Satara,March,Summer,No,Warm,Low,Foreign Tourists,No,Medium,Low,Low
Bhimashankar Temple,Pune,November,Post-Monsoon,Yes,Pleasant,High,Foreign Tourists,No,Medium,High,High
Shirdi,Ahmednagar,January,Winter,No,Cool,Medium,Couples,No,Low,High,High
Matheran,Raigad,March,Summer,No,Humid,Low,Students,No,Medium,Low,Medium
Pratapgad Fort,Satara,December,Winter,No,Cool,Medium,Families,No,Low,Low,High
Khandala,Pune,April,Summer,Yes,Hot,Medium,Couples,No,High,Low,Medium
Lonavala,Pune,June,Monsoon,Yes,Humid,High,Students,No,Medium,Low,Low
Mahabaleshwar,Satara,August,Monsoon,Yes,Humid,High,Families,No,Medium,Low,Medium
Bhimashankar Temple,Pune,May,Summer,Yes,Hot,Medium,Families,No,High,High,High
Tarkarli Beach,Sindhudurg,August,Monsoon,No,Humid,Low,Couples,No,Low,Low,Low
Shani Shingnapur,Ahmednagar,May,Summer,No,Warm,Low,Foreign Tourists,No,Medium,High,High
Trimbakeshwar Temple,Nashik,June,Monsoon,No,Humid,Low,Couples,No,Low,High,High
Kaas Plateau,Satara,January,Winter,Yes,Pleasant,High,Foreign Tourists,No,Medium,Low,Low
Trimbakeshwar Temple,Nashik,October,Post-Monsoon,Yes,Clear,High,Foreign Tourists,No,Medium,High,Medium
Elephanta Caves,Mumbai,May,Summer,No,Warm,Low,Solo Travelers,Yes,Medium,Low,Low
Bhimashankar Temple,Pune,September,Monsoon,Yes,Rainy,Medium,Couples,No,Medium,High,Low
Aga Khan Palace,Pune,December,Winter,No,Cool,Medium,Couples,Yes,Low,Low,Medium
Khandala,Pune,April,Summer,No,Warm,Low,Families,No,Medium,Low,Medium
Daulatabad Fort,Aurangabad,January,Winter,Yes,Pleasant,High,Solo Travelers,No,Medium,Low,Low
Matheran,Raigad,February,Winter,Yes,Pleasant,High,Solo Travelers,No,Medium,Low,Low
Aga Khan Palace,Pune,April,Summer,No,Warm,Low,Families,Yes,Medium,Low,Low
Sindhudurg Fort,Sindhudurg,May,Summer,Yes,Hot,Medium,Couples,No,High,Low,High
Ellora Caves,Aurangabad,August,Monsoon,Yes,Rainy,Medium,Solo Travelers,No,Medium,Low,Low
Khandala,Pune,June,Monsoon,No,Rainy,High,Families,No,Low,Low,Medium
Lonavala,Pune,October,Post-Monsoon,No,Clear,Medium,Families,No,Low,Low,High
Elephanta Caves,Mumbai,October,Post-Monsoon,Yes,Clear,High,Solo Travelers,Yes,Medium,Low,High
Khandala,Pune,September,Monsoon,Yes,Humid,High,Couples,No,Medium,Low,High
Shirdi,Ahmednagar,September,Monsoon,Yes,Rainy,Medium,Students,No,Medium,High,Low
Trimbakeshwar Temple,Nashik,May,Summer,No,Hot,Low,Students,No,Medium,High,Low
Aga Khan Palace,Pune,September,Monsoon,Yes,Humid,Medium,Students,No,Medium,Low,High
Mahabaleshwar,Satara,July,Monsoon,No,Rainy,High,Solo Travelers,No,Low,Low,Medium
Lonavala,Pune,August,Monsoon,No,Rainy,High,Families,No,Low,Low,High
Pratapgad Fort,Satara,January,Winter,Yes,Pleasant,High,Families,No,Medium,Low,Medium
Panchgani,Satara,May,Summer,Yes,Hot,Medium,Families,No,High,Low,Low
Khandala,Pune,April,Summer,Yes,Humid,Medium,Students,No,High,Low,Low
Elephanta Caves,Mumbai,November,Post-Monsoon,No,Pleasant,Medium,Students,Yes,Low,Low,Low
Tarkarli Beach,Sindhudurg,May,Summer,Yes,Humid,Medium,Foreign Tourists,No,High,Low,Low
Trimbakeshwar Temple,Nashik,March,Summer,Yes,Warm,Medium,Foreign Tourists,No,High,High,High
Elephanta Caves,Mumbai,August,Monsoon,No,Humid,Low,Students,No,Low,Low,Medium
Aga Khan Palace,Pune,September,Monsoon,Yes,Rainy,Medium,Couples,No,Medium,Low,High
Sindhudurg Fort,Sindhudurg,November,Post-Monsoon,Yes,Pleasant,High,Solo Travelers,No,Medium,Low,Medium
Sindhudurg Fort,Sindhudurg,June,Monsoon,No,Humid,Low,Students,No,Low,Low,Low
Bhimashankar Temple,Pune,January,Winter,No,Cool,Medium,Couples,No,Low,High,Medium
Bhimashankar Temple,Pune,July,Monsoon,Yes,Humid,Medium,Solo Travelers,No,Medium,High,High
Shirdi,Ahmednagar,July,Monsoon,No,Humid,Low,Couples,No,Low,High,Medium
Ellora Caves,Aurangabad,October,Post-Monsoon,No,Pleasant,Medium,Solo Travelers,Yes,Low,Low,High
Aga Khan Palace,Pune,February,Winter,Yes,Cool,High,Families,Yes,Medium,Low,Medium
Shani Shingnapur,Ahmednagar,August,Monsoon,No,Rainy,Low,Families,No,Low,High,High
Bhimashankar Temple,Pune,September,Monsoon,Yes,Humid,Medium,Solo Travelers,No,Medium,High,Medium
Trimbakeshwar Temple,Nashik,January,Winter,Yes,Pleasant,High,Students,No,Medium,High,Medium
Raigad Fort,Raigad,March,Summer,Yes,Hot,Medium,Foreign Tourists,No,High,Low,Low
Gateway of India,Mumbai,April,Summer,Yes,Warm,Medium,Couples,Yes,High,Low,Low
Bhimashankar Temple,Pune,December,Winter,No,Pleasant,Medium,Families,No,Low,High,High
Raigad Fort,Raigad,January,Winter,Yes,Cool,High,Solo Travelers,No,Medium,Low,Medium
Daulatabad Fort,Aurangabad,December,Winter,No,Cool,Medium,Students,No,Low,Low,Medium
Gateway of India,Mumbai,April,Summer,Yes,Warm,Medium,Couples,Yes,High,Low,High
Tarkarli Beach,Sindhudurg,October,Post-Monsoon,No,Clear,Medium,Solo Travelers,No,Low,Low,Low
Sindhudurg Fort,Sindhudurg,December,Winter,Yes,Cool,High,Families,No,Medium,Low,Low
Elephanta Caves,Mumbai,April,Summer,Yes,Hot,Medium,Students,Yes,High,Low,High
Matheran,Raigad,April,Summer,Yes,Warm,Medium,Families,No,High,Low,High
Raigad Fort,Raigad,April,Summer,Yes,Humid,Medium,Couples,No,High,Low,Medium
Mahabaleshwar,Satara,February,Winter,Yes,Pleasant,High,Solo Travelers,No,Medium,Low,Low
